,Title,Director,Cast,Year of release,Duration (min),Type,Earning,Rating
0,The Shawshank Redemption,Frank Darabont,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler",1994,142,"
Drama            ",$28.34M,9.3
1,The Godfather,Francis Ford Coppola,"Marlon Brando,Al Pacino,James Caan,Diane Keaton",1972,175,"
Crime, Drama            ",$134.97M,9.2
2,Soorarai Pottru,Sudha Kongara,"Suriya,Paresh Rawal,Gaurav Pareek,Aparna Balamurali",2020,153,"
Drama            ", ,9.1
3,The Dark Knight,Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine",2008,152,"
Action, Crime, Drama            ",$534.86M,9.0
4,The Godfather: Part II,Francis Ford Coppola,"Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton",1974,202,"
Crime, Drama            ",$57.30M,9.0
5,12 Angry Men,Sidney Lumet,"Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler",1957,96,"
Crime, Drama            ",$4.36M,9.0
6,The Lord of the Rings: The Return of the King,Peter Jackson,"Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom",2003,201,"
Action, Adventure, Drama            ",$377.85M,8.9
7,Pulp Fiction,Quentin Tarantino,"John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis",1994,154,"
Crime, Drama            ",$107.93M,8.9
8,Schindler's List,Steven Spielberg,"Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall",1993,195,"
Biography, Drama, History            ",$96.90M,8.9
9,Inception,Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe",2010,148,"
Action, Adventure, Sci-Fi            ",$292.58M,8.8
10,Dara iz Jasenovca,Predrag Antonijevic,"Biljana Cekic,Zlatan Vidovic,Anja Stanic,Luka Saranovic",2020,130,"
Drama, War            ", ,8.8
11,Fight Club,David Fincher,"Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier",1999,139,"
Drama            ",$37.03M,8.8
12,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean",2001,178,"
Action, Adventure, Drama            ",$315.54M,8.8
13,Forrest Gump,Robert Zemeckis,"Tom Hanks,Robin Wright,Gary Sinise,Sally Field",1994,142,"
Drama, Romance            ",$330.25M,8.8
14,"Il buono, il brutto, il cattivo",Sergio Leone,"Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè",1966,161,"
Western            ",$6.10M,8.8
15,Shershaah,Vishnuvardhan,"Sidharth Malhotra,Kiara Advani,Shiv Panditt,Pranay Pachauri",2021,135,"
Action, Biography, Drama            ", ,8.7
16,The Lord of the Rings: The Two Towers,Peter Jackson,"Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom",2002,179,"
Action, Adventure, Drama            ",$342.55M,8.7
